الشركة,رقم الحساب,اسم الحساب,التاريخ,رقم السند,نوع المستند,البيان/الشرح,المبلغ
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,عمولات بنكية,10
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,عمولات بنكية,0.7
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,طوابع واردات,509
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,عمولات بنكية,838.499
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,عمولات بنكية,10
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,عمولات بنكية,10
SHK,6010101021,مصاريف عمولات بنكية,2/28/2026,26101280,قيد يومي,عمولات بنكية,0.7
SHK,6010101013,مصاريف أيجارات,2/24/2026,26101285,قيد يومي,ايجار مستودع الكرك,215
SHK,6020101010,مصاريف صيانة سيارات,2/24/2026,26101285,قيد يومي,صيانة سيارة محمد ياسر,197
SHK,6020101015,مصاريف تحميل وتنزيل,2/24/2026,26101285,قيد يومي,تحميل وتنزيل,282
SHK,6010101021,مصاريف عمولات بنكية,3/10/2026,26101289,قيد يومي,عمولات بنكية,2
SHK,6010101018,مصاريف قرطاسية ومطبوعات,3/10/2026,26101289,قيد يومي,سحب أوراق,3
SHK,6010101009,مصاريف متفرقة,3/10/2026,26101289,قيد يومي,مواقف,8
SHK,6020101012,مصاريف محروقات سيارات,3/10/2026,26101291,قيد يومي,مصاريف محروقات,2
SHK,6020101015,مصاريف تحميل وتنزيل,3/10/2026,26101291,قيد يومي,تحميل وتنزيل مجدي,50
SHK,6020101010,مصاريف صيانة سيارات,3/10/2026,26101291,قيد يومي,مصاريف صيانة سيارات,155
SHK,6020101010,مصاريف صيانة سيارات,3/10/2026,26101291,قيد يومي,ف64,228.448
SHK,6020101016,مصاريف قبان,3/10/2026,26101291,قيد يومي,قبان,1.5
SHK,6010101009,مصاريف متفرقة,3/10/2026,26101293,قيد يومي,مصاريف متفرقة,345
SHK,6010101015,مصاريف غير قابله للخصم,3/10/2026,26101297,قيد يومي,فرق سعر,8
SHK,6020101010,مصاريف صيانة سيارات,3/8/2026,26101314,قيد يومي,دلاية نيكو,2
SHK,6020101010,مصاريف صيانة سيارات,3/8/2026,26101314,قيد يومي,ف/110 تجليس ودهان باص,300
SHK,6020101015,مصاريف تحميل وتنزيل,3/8/2026,26101314,قيد يومي,حساب باص الشيخ,100
SHK,6020101020,مصاريف بريد,3/11/2026,26101318,قيد يومي,مصاريف بريد,45
SHK,6010101022,مصاريف عمولات زين كاش,3/11/2026,26101318,قيد يومي,مصاريف بريد,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/11/2026,26101320,قيد يومي,بيعية,0.35
SHK,6020101013,مصاريف بيعية,3/11/2026,26101320,قيد يومي,بيعية,150
SHK,6010101021,مصاريف عمولات بنكية,3/11/2026,26101321,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/11/2026,26101321,قيد يومي,عمولات,0.7
SHK,6010101024,مصاريف مواصلات,3/11/2026,26004792,قيد يومي,مواصلات,2400
SHK,6010101022,مصاريف عمولات زين كاش,3/11/2026,26101323,قيد يومي,تحويل للبنك,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/11/2026,26101324,قيد يومي,بيعية,0.35
SHK,6020101013,مصاريف بيعية,3/11/2026,26101324,قيد يومي,بيعية,250
SHK,6020101015,مصاريف تحميل وتنزيل,3/11/2026,26101325,قيد يومي,تحميل وتنزيل الولاء,80
SHK,6010101003,مصاريف النظافة,3/11/2026,26101327,قيد يومي,نظافة,100
SHK,6010101022,مصاريف عمولات زين كاش,3/11/2026,26101327,قيد يومي,نظافة,0.35
SHK,6010101020,مصاريف حكومية,3/11/2026,26101329,قيد يومي,جمارك,30.5
SHK,6010101022,مصاريف عمولات زين كاش,3/11/2026,26101331,قيد يومي,دهين ابو قاسم,0.35
SHK,6020101006,مصاريف معارض,3/11/2026,26101335,قيد يومي,ف/19,25000
SHK,6020101003,مصاريف تصدير,3/11/2026,26101337,قيد يومي,حلومي - حلال,496.4
SHK,6010101020,مصاريف حكومية,3/11/2026,26101339,قيد يومي,تشجيع استثمار,50.5
SHK,6020101014,خصم مسموح به,3/11/2026,26101345,قيد يومي,خصم 4 % دفعات العقرباوية,296.813
SHK,6020101014,خصم مسموح به,3/5/2026,26101346,قيد يومي,خصم فرق سعر ف 26101466,20
SHK,6010101015,مصاريف غير قابله للخصم,3/11/2026,26004834,قيد يومي,فرق سعر(Reversal) - 7038,-8
SHK,6020101014,خصم مسموح به,3/11/2026,26101347,قيد يومي,خ ن  ف 26101299,6.035
SHK,6010101021,مصاريف عمولات بنكية,2/25/2026,26101349,قيد يومي,عمولات بنكية,4.5
SHK,6010101024,مصاريف مواصلات,3/12/2026,26101351,قيد يومي,اجرة سيارة,-15
SHK,6020101017,مصاريف شحن سيارات,3/12/2026,26101352,قيد يومي,شحن سيارة لؤي السيد,20.1
SHK,6020101010,مصاريف صيانة سيارات,3/12/2026,26101354,قيد يومي,غسيل سيارة امجد زكي,3
SHK,6020101019,مصاريف منسقين,3/12/2026,26101355,قيد يومي,تحويل منسق ياسر الحسامي,50
SHK,6020101010,مصاريف صيانة سيارات,3/12/2026,26101356,قيد يومي,بناشر,2
SHK,6020101017,مصاريف شحن سيارات,3/12/2026,26101356,قيد يومي,شحن سيارة جهاد فقوسة,85
SHK,6010101012,مصاريف لوازم مستهلكة,3/12/2026,26101356,قيد يومي,مفاتيح مكتب,3
SHK,6010101022,مصاريف عمولات زين كاش,3/12/2026,26101356,قيد يومي,عمولات زين كاش فقوسة,1
SHK,6010101021,مصاريف عمولات بنكية,3/8/2026,26004886,قيد يومي,عمولات بنكية,2.1
SHK,6010101021,مصاريف عمولات بنكية,3/9/2026,26004891,قيد يومي,عمولات بنكية,27.991
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,17.136
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,10
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,2
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,10
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,10
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولة دفتر شيكات,25
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولة حوالة,40
SHK,6010101021,مصاريف عمولات بنكية,3/12/2026,26004911,قيد يومي,عمولات,10
SHK,6020101012,مصاريف محروقات سيارات,3/12/2026,26101370,قيد يومي,ديزل,10
SHK,6020101002,مصاريف الضمان الاجتماعي - المبيعات,2/28/2026,26004929,قيد يومي,راتب شهر 02,2650.073
SHK,6020101001,مصاريف ورواتب وأجور- المبيعات,2/28/2026,26004929,قيد يومي,راتب شهر 02,20934.572
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,79
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,88
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,114
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,31
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,69.5
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,100
SHK,6020101003,مصاريف تصدير,3/12/2026,26101372,قيد يومي,مصاريف تصدير,36
SHK,6020101008,مصاريف نقل وشحن,3/12/2026,26004973,قيد يومي,شيك رقم 15169 حسين العوادي للنقل,2612
SHK,6020101010,مصاريف صيانة سيارات,3/15/2026,26101377,قيد يومي,بنشر + رقعة,9
SHK,6010101018,مصاريف قرطاسية ومطبوعات,3/15/2026,26101378,قيد يومي,ختم,11
SHK,6010101009,مصاريف متفرقة,3/15/2026,26101378,قيد يومي,مواقف,7.5
SHK,6020101010,مصاريف صيانة سيارات,3/15/2026,26101378,قيد يومي,بنشر,2.5
SHK,6010101012,مصاريف لوازم مستهلكة,3/15/2026,26101378,قيد يومي,منفاخ هوا,14
SHK,6020101012,مصاريف محروقات سيارات,3/15/2026,26101382,قيد يومي,ديزل,4
SHK,6010101003,مصاريف النظافة,3/15/2026,26101382,قيد يومي,مكنسة عدد 6,3
SHK,6020101012,مصاريف محروقات سيارات,3/15/2026,26101382,قيد يومي,ديزل,13
SHK,6020101012,مصاريف محروقات سيارات,3/15/2026,26101382,قيد يومي,ديزل,10
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,باص الشيخ,100
SHK,6020101022,مصاريف صيانة عامة,3/15/2026,26101382,قيد يومي,صيانة باب المستودع,20
SHK,6020101010,مصاريف صيانة سيارات,3/15/2026,26101382,قيد يومي,صيانة سيارة رقم 25280-42,52
SHK,6010101009,مصاريف متفرقة,3/15/2026,26101382,قيد يومي,قبان,1.5
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,مصروف ابو  لؤي مشوار الطفيلة,5
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,اجرة عامل اسبوع + اجرة عرباي,63
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,تحميل وتنزيل,50
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,تحميل وتنزيل 3 ايتم,60
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,تحميل وتنزيل,10
SHK,6020101012,مصاريف محروقات سيارات,3/15/2026,26101382,قيد يومي,ديزل,10
SHK,6010101018,مصاريف قرطاسية ومطبوعات,3/15/2026,26101382,قيد يومي,ختم ناريخ,5
SHK,6020101015,مصاريف تحميل وتنزيل,3/15/2026,26101382,قيد يومي,تحميل وتنزيل,20
SHK,6020101010,مصاريف صيانة سيارات,3/15/2026,26101383,قيد يومي,غسيل سيارات من 1/3,381.95
SHK,6010101009,مصاريف متفرقة,3/15/2026,26101387,قيد يومي,مواقف,7.5
SHK,6020101012,مصاريف محروقات سيارات,3/15/2026,26101390,قيد يومي,ديزل - ابو محمد,20
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,2.45
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101393,قيد يومي,عمولات,0.35
SHK,6020101014,خصم مسموح به,3/15/2026,26101396,قيد يومي,خ ن  كشف مرفق,5.313
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101398,قيد يومي,عمولات,6.998
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101398,قيد يومي,عمولات,6.998
SHK,6020101003,مصاريف تصدير,3/16/2026,26101399,قيد يومي,منشأ,59
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101400,قيد يومي,صيانة سيارة عمر فاروق,0.35
SHK,6020101010,مصاريف صيانة سيارات,3/16/2026,26101400,قيد يومي,صيانة سيارة عمر فاروق,60
SHK,6010101022,مصاريف عمولات زين كاش,3/12/2026,26101401,قيد يومي,تحويل للبنك,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101402,قيد يومي,رخصة مهن,0.35
SHK,6010101020,مصاريف حكومية,3/16/2026,26101402,قيد يومي,رخصة مهن,125
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101403,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101403,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101403,قيد يومي,عمولات,0.7
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101404,قيد يومي,طبالي,0.35
SHK,6010101012,مصاريف لوازم مستهلكة,3/16/2026,26101404,قيد يومي,طبالي,590
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101405,قيد يومي,حساب عيد المصري,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,3/16/2026,26101405,قيد يومي,حساب عيد المصري,950
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101406,قيد يومي,مياومة,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,3/16/2026,26101406,قيد يومي,مياومة,130.35
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101407,قيد يومي,مياومة,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,3/16/2026,26101407,قيد يومي,مياومة,130.35
SHK,6010101022,مصاريف عمولات زين كاش,3/12/2026,26101408,قيد يومي,تحويل للبنك,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/12/2026,26101408,قيد يومي,تحويل للبنك,0.35
SHK,6020101010,مصاريف صيانة سيارات,3/16/2026,26101410,قيد يومي,غيار زيت + فلتر,18.104
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101410,قيد يومي,غيار زيت + فلتر,0.35
SHK,6020101013,مصاريف بيعية,3/16/2026,26101411,قيد يومي,بيعية,1000
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101411,قيد يومي,بيعية,0.35
SHK,6020101003,مصاريف تصدير,3/16/2026,26101413,قيد يومي,بطاقة مستورد,15.35
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101414,قيد يومي,تحميل وتنزيل الولاء,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,3/16/2026,26101414,قيد يومي,تحميل وتنزيل الولاء,100
SHK,6010101026,مصاريف انترنت,3/16/2026,26101416,قيد يومي,انترنت,63.4
SHK,6020101014,خصم مسموح به,3/16/2026,26101417,قيد يومي,علف,-1696.2
SHK,6020101014,خصم مسموح به,3/16/2026,26101418,قيد يومي,خصم فرق ف 26100029,455
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101420,قيد يومي,الدكتور شخصي,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/16/2026,26101421,قيد يومي,تحويل للبنك,0.35
SHK,6020101014,خصم مسموح به,3/16/2026,26101423,قيد يومي,خصم كشف مرفق,159.08
SHK,6020101014,خصم مسموح به,3/16/2026,26101426,قيد يومي,خصم نقدي كشف مرفق,66.295
SHK,6020101013,مصاريف بيعية,3/17/2026,26101431,قيد يومي,بيعية,360
SHK,6010101022,مصاريف عمولات زين كاش,3/17/2026,26101431,قيد يومي,بيعية,0.35
SHK,6020101012,مصاريف محروقات سيارات,3/17/2026,26101435,قيد يومي,بدل بنزين,7
SHK,6010101009,مصاريف متفرقة,3/12/2026,26101438,قيد يومي,عمولات,0.7
SHK,6010101009,مصاريف متفرقة,3/12/2026,26101438,قيد يومي,عمولات,1
SHK,6020101012,مصاريف محروقات سيارات,2/5/2026,26101443,قيد يومي,ديزل,40
SHK,6020101014,خصم مسموح به,3/16/2026,26101445,قيد يومي,خصم فرق احتساب ف 26101663,17.28
SHK,6020101003,مصاريف تصدير,3/17/2026,26101446,قيد يومي,تخليص,75
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/16/2026,26101449,قيد يومي,عمولات,0.35
SHK,6010101021,مصاريف عمولات بنكية,3/15/2026,26101450,قيد يومي,عمولات,6.998
SHK,6010101022,مصاريف عمولات زين كاش,3/18/2026,26101451,قيد يومي,تحويل زين كاش - سفيان التعمري,0.5
SHK,6010101025,مصاريف هاتف,3/18/2026,26101452,قيد يومي,تسديد فاتورة هواتف الشركة,1313.448
SHK,6020101012,مصاريف محروقات سيارات,3/18/2026,26101453,قيد يومي,ديزل,3
SHK,6020101010,مصاريف صيانة سيارات,3/18/2026,26101453,قيد يومي,صيانة سيارة سفيان,60
SHK,6020101015,مصاريف تحميل وتنزيل,3/18/2026,26101456,قيد يومي,تحميل وتنزيل,50
SHK,6010101003,مصاريف النظافة,3/18/2026,26101460,قيد يومي,رفع نفايات,50
SHK,6020101008,مصاريف نقل وشحن,3/18/2026,26101460,قيد يومي,اجرة نقل,290
SHK,6020101012,مصاريف محروقات سيارات,3/18/2026,26101460,قيد يومي,ديزل,63
SHK,6020101010,مصاريف صيانة سيارات,3/18/2026,26101460,قيد يومي,تغبئة زيت,30
SHK,6020101015,مصاريف تحميل وتنزيل,3/18/2026,26101460,قيد يومي,تحميل وتنزيل,20
SHK,6020101010,مصاريف صيانة سيارات,3/18/2026,26101461,قيد يومي,ف/رقم 217 فلتر زيت,17.241
SHK,6010101009,مصاريف متفرقة,3/15/2026,26005282,قيد يومي,مواقف(Reversal) - 7501,-7.5
SHK,6010101006,مصاريف كهرباء,3/18/2026,26101482,قيد يومي,كهرباء,102
SHK,6010101009,مصاريف متفرقة,3/18/2026,26101482,قيد يومي,مصاريف ابو العبد,16.5
SHK,6020101015,مصاريف تحميل وتنزيل,3/18/2026,26101484,قيد يومي,تحميل وتنزيل,20
SHK,6020101015,مصاريف تحميل وتنزيل,3/18/2026,26101484,قيد يومي,تحميل وتنزيل,26
SHK,6020101015,مصاريف تحميل وتنزيل,3/18/2026,26101484,قيد يومي,تحميل وتنزيل,60
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101488,قيد يومي,تسجيل علامة تجارية,0.35
SHK,6010101020,مصاريف حكومية,3/21/2026,26101488,قيد يومي,تسجيل علامة تجارية,100
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101489,قيد يومي,مصاريف سفر,0.35
SHK,6010101023,مصاريف سفر واقامة وتنقلات,3/21/2026,26101489,قيد يومي,مصاريف سفر,200
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101490,قيد يومي,الدكتور شخصي,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101491,قيد يومي,دهين ابو قاسم,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101494,قيد يومي,منسق جرش مول,0.35
SHK,6010101020,مصاريف حكومية,3/21/2026,26101496,قيد يومي,غرفة تجارة عمان,7.25
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101497,قيد يومي,دعاي واعلان عن شهر 03,0.35
SHK,6020101004,مصاريف دعاية وإعلان,3/21/2026,26101497,قيد يومي,دعاي واعلان عن شهر 03,250
SHK,6020101003,مصاريف تصدير,3/21/2026,26101498,قيد يومي,رسوم جمركية + تخليص,63
SHK,6020101003,مصاريف تصدير,3/21/2026,26101499,قيد يومي,رسوم جمركية + تخليص,79
SHK,6020101003,مصاريف تصدير,3/21/2026,26101500,قيد يومي,رسوم جمركية + تخليص,331
SHK,6020101003,مصاريف تصدير,3/21/2026,26101501,قيد يومي,رسوم جمركية + تخليص,63
SHK,6020101003,مصاريف تصدير,3/21/2026,26101502,قيد يومي,رسوم جمركية + تخليص,130
SHK,6020101003,مصاريف تصدير,3/21/2026,26101503,قيد يومي,رسوم جمركية + تخليص,69.5
SHK,6020101003,مصاريف تصدير,3/21/2026,26101504,قيد يومي,رسوم جمركية + تخليص,70
SHK,6010101021,مصاريف عمولات بنكية,3/18/2026,26101509,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/18/2026,26101509,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/18/2026,26101509,قيد يومي,عمولات,0.5
SHK,6010101021,مصاريف عمولات بنكية,3/18/2026,26101509,قيد يومي,عمولات,0.7
SHK,6010101021,مصاريف عمولات بنكية,3/18/2026,26101509,قيد يومي,عمولات,0.7
SHK,6010101022,مصاريف عمولات زين كاش,3/23/2026,26101510,قيد يومي,بيعية,0.35
SHK,6020101013,مصاريف بيعية,3/23/2026,26101510,قيد يومي,بيعية,300
SHK,6010101022,مصاريف عمولات زين كاش,3/23/2026,26101511,قيد يومي,باقي حساب عيد,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,3/23/2026,26101511,قيد يومي,باقي حساب عيد,1000
SHK,6010101020,مصاريف حكومية,3/23/2026,26101513,قيد يومي,جمارك,30.5
SHK,6010101020,مصاريف حكومية,3/23/2026,26101515,قيد يومي,طلب تسجيل علامة تجارية 2,100.35
SHK,6010101009,مصاريف متفرقة,3/23/2026,26101516,قيد يومي,طوابع,7.5
SHK,6010101009,مصاريف متفرقة,3/23/2026,26101517,قيد يومي,طوابع,9.9
SHK,6010101009,مصاريف متفرقة,3/23/2026,26101518,قيد يومي,طوابع,12.7
SHK,6010101009,مصاريف متفرقة,3/23/2026,26101519,قيد يومي,طوابع,11.8
SHK,6010101009,مصاريف متفرقة,3/23/2026,26101520,قيد يومي,طوابع,9.3
SHK,6010101009,مصاريف متفرقة,3/24/2026,26101521,قيد يومي,طوابع,29.925
SHK,6010101009,مصاريف متفرقة,3/24/2026,26101522,قيد يومي,طوابع,2.3
SHK,6010101009,مصاريف متفرقة,3/24/2026,26101523,قيد يومي,طوابع,23.96
SHK,6010101009,مصاريف متفرقة,3/24/2026,26101524,قيد يومي,طوابع,9.8
SHK,6010101021,مصاريف عمولات بنكية,3/23/2026,26005364,قيد يومي,عمولات بنكية,2
SHK,6020101010,مصاريف صيانة سيارات,3/24/2026,26101526,قيد يومي,غسيل سياؤة قصي ذيب,6
SHK,6020101004,مصاريف دعاية وإعلان,3/24/2026,26101529,قيد يومي,دعايات وتصميم شهر 02,250
SHK,6010101022,مصاريف عمولات زين كاش,3/24/2026,26101529,قيد يومي,دعايات وتصميم شهر 02,0.35
SHK,6010101004,مصاريف ضيافة,3/24/2026,26101530,قيد يومي,مشتريات المكتب,33.1
SHK,6010101022,مصاريف عمولات زين كاش,3/24/2026,26101530,قيد يومي,باقي مصاريف دبي,0.35
SHK,6010101023,مصاريف سفر واقامة وتنقلات,3/24/2026,26101530,قيد يومي,باقي مصاريف دبي,220
SHK,6020101014,خصم مسموح به,3/24/2026,26101531,قيد يومي,خصم طوابع,4.6
SHK,6010101022,مصاريف عمولات زين كاش,3/24/2026,26101537,قيد يومي,ايجار نقل حليب,0.35
SHK,6020101015,مصاريف تحميل وتنزيل,3/18/2026,26101539,قيد يومي,عمال المياومة,170
SHK,6020101013,مصاريف بيعية,3/24/2026,26101541,قيد يومي,بيعية,50
SHK,6010101009,مصاريف متفرقة,3/25/2026,26101542,قيد يومي,طوابع,178.4
SHK,6010101009,مصاريف متفرقة,3/25/2026,26101543,قيد يومي,طوابع,33.4
SHK,6010101009,مصاريف متفرقة,3/25/2026,26101545,قيد يومي,طوايع,26.3
SHK,6010101022,مصاريف عمولات زين كاش,3/25/2026,26101549,قيد يومي,سلفة عمل بيد حسام الدرابيع,0.35
SHK,6010101022,مصاريف عمولات زين كاش,3/25/2026,26101550,قيد يومي,نقل حليب,0.35
SHK,6020101004,مصاريف دعاية وإعلان,3/21/2026,26005509,قيد يومي,دعاي واعلان عن شهر 03(Reversal) - 7884,-250
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26005509,قيد يومي,دعاي واعلان عن شهر 03(Reversal) - 7884,-0.35
SHK,6020101014,خصم مسموح به,3/24/2026,26101553,قيد يومي,اغلاق فرق حساب,2.1
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26005516,قيد يومي,منسق جرش مول(Reversal) - 7880,-0.35
SHK,6020101019,مصاريف منسقين,3/21/2026,26101554,قيد يومي,منسق جرش مول,30
SHK,6010101022,مصاريف عمولات زين كاش,3/21/2026,26101554,قيد يومي,منسق جرش مول,0.35
SHK,6010101009,مصاريف متفرقة,3/25/2026,26101556,قيد يومي,طوابع,26.1
SHK,6020101010,مصاريف صيانة سيارات,3/25/2026,26101557,قيد يومي,بنشر ابو العبد,2.5
SHK,6010101009,مصاريف متفرقة,3/25/2026,26101557,قيد يومي,مواقف + طوابع ابو العبد,71.5
SHK,6010101004,مصاريف ضيافة,3/25/2026,26101563,قيد يومي,فطور مستودع سحاب,6
SHK,6020101012,مصاريف محروقات سيارات,3/25/2026,26101563,قيد يومي,ديزل,40
SHK,6010101025,مصاريف هاتف,3/25/2026,26101563,قيد يومي,هاتف,12.25
SHK,6020101015,مصاريف تحميل وتنزيل,3/25/2026,26101563,قيد يومي,دفعة لعيد المصري,400
SHK,6020101010,مصاريف صيانة سيارات,3/25/2026,26101563,قيد يومي,نفخ,1
SHK,6010101025,مصاريف هاتف,3/25/2026,26101563,قيد يومي,هاتف,12.25
SHK,6020101010,مصاريف صيانة سيارات,3/25/2026,26101563,قيد يومي,غسيل,7
SHK,6020101015,مصاريف تحميل وتنزيل,3/25/2026,26101563,قيد يومي,تحميل وتنزيل,65
SHK,6020101012,مصاريف محروقات سيارات,3/25/2026,26101563,قيد يومي,ديزل,7
SHK,6010101012,مصاريف لوازم مستهلكة,3/25/2026,26101563,قيد يومي,صيد قوارض,5
SHK,6010101007,مصاريف مياه,3/25/2026,26101563,قيد يومي,مياه,2.5
SHK,6020101012,مصاريف محروقات سيارات,3/25/2026,26101563,قيد يومي,ديزل,34.007
SHK,6020101012,مصاريف محروقات سيارات,3/25/2026,26101563,قيد يومي,ديزل,10
SHK,6010101004,مصاريف ضيافة,3/25/2026,26101563,قيد يومي,كراتين مياه عدد 20,23
SHK,6010101012,مصاريف لوازم مستهلكة,3/25/2026,26101563,قيد يومي,كفوف,3
SHK,6020101012,مصاريف محروقات سيارات,3/25/2026,26101563,قيد يومي,ديزل,10
